State,District,Combined District,Supt. First Name,Supt. Last Name,Supt. ID,<- IDs will be added late Sept/early Oct
Massachusetts,Northern Berkshire Regional Vocational Technical,Northern Berkshire Regional Vocational Technical,James,Brosnan,,
Massachusetts,Montachusett Regional Vocational Technical,Montachusett Regional Vocational Technical,Thomas,Browne,,
Massachusetts,Groton-Dunstable,Groton-Dunstable,Geoffrey,Bruno,,
Massachusetts,Scituate,Scituate,William,Burkhead,,
Massachusetts,Taunton,Taunton,John,Cabral,,
Massachusetts,Easton,Easton,Lisha,Cabral,,
Massachusetts,Swampscott,Swampscott,Jason,Calichman,,
Massachusetts,Salem Academy Charter (District),Salem Academy Charter (District),Stephanie,Callahan,,
Massachusetts,Belchertown,Belchertown,Brian,Cameron,,
Massachusetts,Wrentham,Wrentham,Allan,Cameron,,
Massachusetts,Plymouth,Plymouth,Christopher,Campbell,,
Massachusetts,Somerville,Somerville,Ruben,Carmona,,
Massachusetts,Monomoy Regional School District,Monomoy Regional School District,Scott,Carpenter,,
Massachusetts,Lawrence,Lawrence,Ralph,Carrero,,
Massachusetts,Narragansett,Narragansett,Christopher,Casavant,,
Massachusetts,Auburn,Auburn,Elizabeth,Chamberland,,
